"V1" "V2"
"1" 2.69292498342628 595121
"2" 2.87168671522698 797771
"3" 2.11089715789894 864126
"4" 2.49516149791099 301335
"5" 2.12714594070076 940582
"6" 3.26719682147122 809882
"7" 3.19395851175948 170530
"8" 2.25577955436326 60340
"9" 2.69359541797514 536208
"10" 3.10242392263398 65789
"11" 3.29603329395658 218983
"12" 2.17863420989228 367051
"13" 3.00041560151314 718907
"14" 1.92065972965703 793317
"15" 2.03851722110521 680851
"16" 2.67788478804969 956662
"17" 3.73450233977218 103809
"18" 1.9480797811457 584811
"19" 2.2032470610409 926649
"20" 2.49484550766303 10542
"21" 2.08288427931175 66669
"22" 3.08780603143088 842903
"23" 3.45270197018275 326918
"24" 2.52983038164999 628961
"25" 2.03748135362404 738888
"26" 2.99565495000022 550161
"27" 3.47259058237137 298334
"28" 2.8295700043583 301381
"29" 3.06497959234708 128767
"30" 2.73288386838773 882368
"31" 2.32150922719122 939428
"32" 2.52395848039314 537549
"33" 2.443929703722 444213
"34" 2.04176886860403 58733
"35" 3.06024063280198 910792
"36" 3.22150958090705 976491
"37" 2.59961875191091 442664
"38" 2.63804600522315 37228
"39" 1.90368494254541 943613
"40" 2.29207863949911 305384
"41" 2.84522436319303 44701
"42" 2.61701634361014 553828
"43" 2.39041463888423 724237
"44" 2.7963786933049 921758
"45" 2.5842166189865 102394
"46" 2.31290959993172 801046
"47" 2.67566182302861 268742
"48" 3.40111353149872 971214
"49" 2.86964134019148 852804
"50" 2.01895970721133 981038
"51" 4.63881724999604 509623
"52" 4.20559121919809 312915
"53" 3.15982998360697 36846
"54" 3.82671487109632 558046
"55" 2.65878951107603 650944
"56" 3.44389107537528 740866
"57" 3.11945950363159 626471
"58" 3.35139500283558 274209
"59" 2.61497405932322 947975
"60" 2.23870446200115 771266
"61" 2.82775666165976 399971
"62" 2.81222323156961 369825
"63" 2.60293169781158 231985
"64" 2.31987760477951 114417
"65" 2.7323407283084 9879
"66" 3.25177196975356 797498
"67" 3.05144684605668 128114
"68" 3.0408393593817 268247
"69" 3.59519444368784 568131
"70" 2.75796690856076 751902
"71" 2.3040051745951 734196
"72" 2.14261213300768 405044
"73" 2.90070123998141 599714
"74" 2.9458653423673 712215
"75" 2.7950014309872 446808
"76" 2.65617846096853 324101
"77" 2.88297052503406 709413
"78" 2.53598431880314 897258
"79" 2.81890002129719 7788
"80" 2.72789636721036 35172
"81" 2.84306810088261 771950
"82" 2.43825081386971 919864
"83" 2.80676814727372 448449
"84" 3.05408183277195 242772
"85" 1.84377140746905 84346
"86" 2.86434178970359 156275
"87" 2.68644546947011 29338
"88" 3.27676328564228 534947
"89" 3.62287274430827 26810
"90" 2.66652518816436 472869
"91" 2.94556992911245 594884
"92" 2.91300670370959 795385
"93" 3.01444463818027 369717
"94" 3.86493654661728 873710
"95" 3.77692447514988 683627
"96" 3.10970242477633 494983
"97" 3.39152803196826 197669
"98" 2.07014146161024 633526
"99" 2.38224156492229 154609
"100" 2.20098361153059 369696
"101" 2.99161578732801 205360
"102" 2.89436036753755 214611
"103" 2.22293622362671 334556
"104" 4.47870064729172 50249
"105" 2.08661270617758 707272
"106" 2.64710932841192 276789
"107" 3.22143252768138 378866
"108" 3.24122372389181 544263
"109" 2.45446250184841 175661
"110" 2.60411058731067 52336
"111" 3.31218507452205 513111
"112" 4.04673846187319 624828
"113" 2.27134378249052 688730
"114" 2.02076332298142 426687
"115" 2.21011590393565 118473
"116" 2.24023853241688 425765
"117" 3.10764099062222 517665
"118" 3.43835894147852 611034
"119" 2.88189351499519 744709
"120" 3.11566175266534 393432
"121" 2.45081487951888 796146
"122" 3.32933418672092 323028
"123" 4.39582686673725 482114
"124" 2.16272799127682 553517
"125" 2.03276538997518 886264
"126" 2.51178472380218 729977
"127" 4.02913814194099 937165
"128" 3.49216860482663 226280
"129" 3.87668763205431 973908
"130" 3.21220065842784 761543
"131" 2.81582391652784 776321
"132" 3.46586878794651 926389
"133" 3.56473660156589 738639
"134" 3.07599079620326 741082
"135" 2.84052875899233 40912
"136" 2.78881300448533 850070
"137" 2.4398540472189 797388
"138" 2.87854903905777 834169
"139" 1.93218715400862 250194
"140" 3.02439290559343 871217
"141" 1.8588703354765 780651
"142" 3.10679306250461 298573
"143" 3.04711535008997 807892
"144" 2.64241992063905 590863
"145" 2.26110400727342 863106
"146" 2.39157539879282 892226
"147" 2.54549251414638 978003
"148" 2.47920359302038 931055
"149" 3.1974399048915 713273
"150" 3.86232891621154 471424
"151" 2.34783465773998 474783
"152" 2.33472122900185 110599
"153" 3.90208649704492 494842
"154" 3.15656168852512 723053
"155" 1.96956250847118 423941
"156" 3.13683522835998 437061
"157" 2.78202489166695 429365
"158" 3.80272739715337 678883
"159" 2.65559270146955 819078
"160" 3.52740968397361 39742
"161" 3.36283209593934 685476
"162" 2.99937471951182 955206
"163" 2.54091179080155 323903
"164" 3.35698115691424 520543
"165" 2.68656020700195 243106
"166" 2.57645073693661 34665
"167" 3.1711871950542 95261
"168" 2.2677454527901 365392
"169" 2.15534903844312 786050
"170" 2.47639269751964 456281
"171" 3.71696396797406 780443
"172" 2.98785153814461 253796
"173" 2.23234985543734 592127
"174" 2.58808055053697 917601
"175" 3.0285586341818 209392
"176" 2.78238322862413 832708
"177" 2.92153409625817 26588
"178" 2.92243949774079 32646
"179" 2.84988331640068 359318
"180" 3.51156409623675 114191
"181" 3.24958829754432 998013
"182" 2.74814811304689 11071
"183" 2.90874215262908 604826
"184" 2.51341104934438 920080
"185" 3.5469427190292 575517
"186" 2.85107548017285 688296
"187" 2.26579797489864 637223
"188" 2.33659564810702 123184
"189" 2.37054264719685 174525
"190" 2.8621646680453 727462
"191" 3.24281561537996 252241
"192" 2.91703842344947 60190
"193" 2.62171038866205 460008
"194" 3.98920261211842 134638
"195" 2.50290047217708 220233
"196" 3.10590814244241 97947
"197" 3.30041032560843 888077
"198" 2.80633476316083 989696
"199" 3.18669154762543 303314
"200" 2.32203783844626 759348
"201" 2.43314035924778 290832
"202" 2.26213011623376 174518
"203" 2.46002128194492 907271
"204" 2.89220861905049 10564
"205" 2.45019084132824 480554
"206" 3.31555379930804 648110
"207" 2.31912398284383 872301
"208" 2.63988189224683 911704
"209" 2.43547702133114 117896
"210" 2.65722939682813 140757
"211" 3.06552598881936 350850
"212" 2.67570728246239 877893
"213" 2.84696681876051 329712
"214" 2.82811531649129 188228
"215" 3.31628930952244 826204
"216" 2.87145274968846 130135
"217" 3.04311040567071 622879
"218" 2.41507784745913 292641
"219" 2.2917382396713 316890
"220" 3.05847944570925 77247
"221" 2.45147527145071 916068
"222" 2.27932681176899 776885
"223" 2.24219257199615 917808
"224" 2.68859080671514 157212
"225" 2.90922296680458 876919
"226" 2.59482151786601 50271
"227" 3.35045630210205 511091
"228" 3.10241860843426 870341
"229" 2.96306023030166 371054
"230" 2.61278920722799 750960
"231" 2.80251172745993 702812
"232" 2.45667557293114 473161
"233" 2.24510566941013 177455
"234" 2.02685326578131 551333
"235" 1.98642031834174 824754
"236" 4.07450060385677 700464
"237" 3.65236620539617 140878
