"V1" "V2"
"1" 3.42965466726821 920164
"2" 2.09913200054375 796402
"3" 2.00817848750891 597099
"4" 2.76687937180017 590320
"5" 2.43865915139359 759039
"6" 1.81201084114315 977722
"7" 2.87364714037762 307450
"8" 2.7691288842968 223450
"9" 2.50093635203816 63914
"10" 1.96665485194032 934472
"11" 3.42610651038498 587166
"12" 4.02923587221435 8597
"13" 1.61186993219958 598817
"14" 2.77669517542699 76041
"15" 1.94515408634176 163479
"16" 1.94480682315503 223472
"17" 2.6540727518196 47888
"18" 4.32414545958087 232501
"19" 2.36322469214079 399058
"20" 2.36984399210296 426631
"21" 3.87808592540895 358135
"22" 3.7034346168494 844620
"23" 2.62379277588425 508598
"24" 2.409390140005 798655
"25" 2.41927246009201 387795
"26" 4.67485264303236 958765
"27" 2.39603370618161 37260
"28" 2.81913171174823 800482
"29" 4.27917816143748 570452
"30" 1.89420978695564 241687
"31" 2.19203303658095 909028
"32" 1.65283575431822 865529
"33" 2.33367039468929 466809
"34" 1.98032267137493 634116
"35" 2.06206663207307 743648
"36" 2.3289082932142 883628
"37" 2.72761634859055 502459
"38" 2.05662183724739 569103
"39" 2.54021178424154 517223
"40" 1.8928148705615 703142
"41" 2.26210941891799 180627
"42" 2.28802333038982 477365
"43" 1.89993938048206 917224
"44" 2.63296824964467 273484
"45" 2.6526400641543 538754
"46" 2.0363689835648 939011
"47" 2.7027219992814 922197
"48" 2.45307468697273 340244
"49" 2.09413945065025 986864
"50" 1.64839635798345 179553
"51" 1.64002286019248 973573
"52" 1.6543967217693 670076
"53" 2.62576633929675 279939
"54" 1.85739828473983 48701
"55" 2.91497390879213 456038
"56" 2.32884993149962 434028
"57" 1.82241122731849 132350
"58" 2.49700072688651 914044
"59" 3.79196940087174 487122
"60" 3.11406333826606 786697
"61" 1.98147598880524 632264
"62" 1.96571975104281 239005
"63" 2.26380230796723 881856
"64" 2.81061427628903 808391
"65" 2.12637979557048 81844
"66" 2.55476549662685 389181
"67" 2.27060661271689 503012
"68" 2.44958370903089 451866
"69" 2.39669894344118 974139
"70" 3.38083964509807 626925
"71" 1.84756076006056 888502
"72" 2.40578979986198 30366
"73" 1.8780146337232 898594
"74" 3.19807345076766 418460
"75" 1.98449122898604 769974
"76" 1.38626307600905 387357
"77" 2.94512632716905 328586
"78" 2.8675726898544 963376
"79" 3.32201013870165 407219
"80" 1.74724609408241 488964
"81" 1.86528814609249 514143
"82" 3.99349477130354 713508
"83" 1.97347796396849 400895
"84" 2.52521111567854 6309
"85" 2.49893963591496 167628
"86" 2.34008731521163 38994
"87" 2.04978573188468 919888
"88" 1.267080785186 761982
"89" 2.14140179599006 367459
"90" 2.4404569555426 770015
"91" 2.50927479884637 914818
"92" 2.41562126294148 984646
"93" 2.50924747936697 789945
"94" 2.25169183100411 979835
"95" 2.57221877089138 712502
"96" 2.16354284350855 405504
"97" 1.9788137350979 159373
"98" 2.44652507082528 344967
"99" 3.04510166027512 478522
"100" 2.41925081716502 504693
"101" 1.64606730417267 106183
