"V1" "V2"
"1" 1.64801170869231 978003
"2" 2.47475079076156 931055
"3" 2.34488863219295 713273
"4" 2.41019323507046 471424
"5" 1.78852672789686 474783
"6" 4.05637066953101 110599
"7" 2.59486728005613 494842
"8" 1.98970286318966 723053
"9" 2.16717701275767 423941
"10" 2.44766008951856 437061
"11" 2.28370344882874 429365
"12" 2.50191820472382 678883
"13" 2.27249061570278 819078
"14" 2.08849477003841 39742
"15" 1.92516295527269 685476
"16" 2.18303835430389 955206
"17" 3.24759138317891 323903
"18" 1.7871900970294 520543
"19" 2.40007785594071 243106
"20" 2.12548223961273 34665
"21" 2.66737374232692 95261
"22" 2.74976403381059 365392
"23" 2.60036517868394 786050
"24" 2.19667051453362 456281
"25" 2.1148374485468 780443
"26" 2.14906612365589 253796
"27" 2.55746464152128 592127
"28" 3.3344484091133 917601
"29" 3.36170222549975 209392
"30" 2.34784735465895 832708
"31" 3.02798240695735 26588
"32" 2.84266089617381 32646
"33" 2.63390342479819 359318
"34" 2.24512276241141 114191
"35" 5.00075014412979 998013
"36" 3.20632539100788 11071
"37" 2.26837930748522 604826
"38" 2.17877357637239 920080
"39" 3.80639333097699 575517
"40" 2.83400871716362 688296
"41" 2.46334508405899 637223
"42" 1.85213861500274 123184
"43" 3.08269885623272 174525
"44" 3.16707289698336 727462
"45" 3.29767327519658 252241
"46" 2.6114438102883 60190
"47" 4.61209796123115 460008
"48" 2.96063146681741 134638
"49" 2.37863170780526 220233
"50" 2.91780284832404 97947
"51" 3.1406033018846 888077
"52" 2.41843270112377 989696
"53" 1.85662990870862 303314
"54" 2.41706674063331 759348
"55" 2.41238654226524 290832
"56" 3.9881948237611 174518
"57" 3.82196356378568 907271
"58" 2.58655044972913 10564
"59" 2.05053681217119 480554
"60" 4.49687908669283 648110
"61" 2.29286775538294 872301
"62" 2.51070840525003 911704
"63" 3.0743462226924 117896
"64" 2.59751128147349 140757
"65" 3.28355781518032 350850
"66" 2.30632134020943 877893
"67" 2.96691703601554 329712
"68" 3.51731562111056 188228
"69" 1.85743413474452 826204
"70" 3.38521817436846 130135
"71" 3.24991429935972 622879
"72" 5.03709992427947 292641
"73" 2.28535623590629 316890
"74" 2.93747138804622 77247
"75" 2.20833518145486 916068
"76" 1.61056010931629 776885
"77" 2.91625488642219 917808
"78" 2.28397883254332 157212
"79" 2.42708417902844 876919
"80" 3.60243077182277 50271
"81" 2.97286241600119 511091
"82" 2.21375887812813 870341
"83" 3.4213768035966 371054
"84" 3.15048419529837 750960
"85" 2.5529583594444 702812
"86" 2.28608537605226 473161
"87" 2.57875869689479 177455
"88" 2.2934081563998 551333
"89" 1.94819783844302 824754
"90" 3.69586023315058 700464
"91" 3.06695414799543 140878
"92" 2.35304346538215 638319
"93" 4.54698421910305 675091
"94" 2.4603884596703 160332
