"V1" "V2"
"1" 1.59395701141966 515238
"2" 2.52956685938932 134274
"3" 2.08919233343537 261221
"4" 2.01630515471812 912475
"5" 2.33354244254171 470103
"6" 1.92806744516056 955275
"7" 3.62296923885082 561656
"8" 2.56512390960122 799083
"9" 3.3827959305967 533856
"10" 2.4263362467206 370127
"11" 1.87640200121906 422653
"12" 2.16097216398646 741839
"13" 2.50248718017899 525159
"14" 3.02423179555506 386522
"15" 2.09596275352406 306074
"16" 1.8235447174931 146830
"17" 2.26679713970911 277617
"18" 2.12025566373263 420745
"19" 1.90427395898393 434450
"20" 3.61063053137517 880979
"21" 3.15924309743055 424970
"22" 2.58754529240546 782875
"23" 2.02155708255512 239048
"24" 1.94104331759556 887845
"25" 1.9901676905654 2084
"26" 2.64559139091342 409198
"27" 2.09477553887437 129129
"28" 2.02487268407937 202934
"29" 1.98593283778418 341511
"30" 2.4993107647681 196724
"31" 2.09281488630501 803541
"32" 2.76253993303101 671436
"33" 3.10736174208535 704797
"34" 2.17477384548028 650283
"35" 4.1903983683971 96435
"36" 2.15502212008039 855365
"37" 3.36433144459643 58627
"38" 1.74799382196001 659729
"39" 4.17798397983532 735963
"40" 2.22963085706842 956476
"41" 2.66923842151223 752070
"42" 2.51169709281368 723482
"43" 7.10138745104564 191007
"44" 2.58405292847532 330679
"45" 3.38512041657499 580633
"46" 2.25388712681601 695688
"47" 1.97756212545494 621627
"48" 2.09584615227431 498576
"49" 3.36644279056772 32285
"50" 2.73189680480972 898245
"51" 1.99816326184972 262478
"52" 2.36258725438809 18986
"53" 2.41962387205052 367375
"54" 1.84838574702022 734822
"55" 1.89612008616319 629494
"56" 2.65859612053607 876544
"57" 2.88244017702662 106380
"58" 2.52362863898272 969567
"59" 2.30745133479896 819905
"60" 2.57056439884562 807387
"61" 3.72957275770395 99121
"62" 3.77221775712272 920364
"63" 3.980438096708 720173
"64" 3.34291220390661 550512
"65" 2.22026054133801 843296
"66" 2.71969597854586 151591
"67" 2.22030968008324 981544
"68" 3.81675686072497 280937
"69" 1.81111008476359 85574
"70" 1.94292503428968 354358
"71" 2.49455685536484 582154
"72" 2.52814476852882 339474
"73" 3.48013214528483 9016
"74" 2.59377565538894 350505
"75" 2.02004920261124 339767
"76" 2.23652938622696 178661
"77" 4.95157546390925 337962
"78" 3.59532614978758 944914
"79" 1.76069516227695 654144
"80" 2.61109945062321 436663
"81" 2.66821267232582 115306
"82" 2.27033277552526 549236
"83" 1.89958759614716 353073
"84" 2.87835257671309 464160
"85" 2.29104898943225 356719
"86" 2.56429900818637 586199
"87" 1.94473309228655 823098
"88" 2.17379489928235 600161
"89" 2.34086329657526 274341
"90" 2.08420429587251 9441
"91" 2.345786267498 80050
"92" 1.81255324847585 514758
"93" 2.19181219275104 824444
"94" 2.50741923123842 185339
"95" 1.65375456365174 138195
"96" 1.82187865530452 679843
"97" 4.58469473107382 774264
"98" 2.54106417711897 600221
"99" 2.77199416930164 870984
"100" 2.17314772919107 960721
"101" 3.84696149713186 962482
"102" 2.37083011200037 539687
"103" 4.27024822410862 974635
"104" 3.49837109718255 15444
"105" 2.58179943189006 905895
"106" 2.39170842816984 124134
"107" 2.0385520160736 71579
"108" 2.21444716647274 664442
"109" 1.82899784835702 238040
"110" 2.5883357465664 613032
"111" 2.40247164182709 795951
"112" 1.7080870422221 370585
"113" 2.07678349991939 701811
"114" 3.82013671578612 142779
"115" 3.36624735644979 45584
"116" 2.12875381979708 41471
"117" 3.49563371727529 434913
"118" 1.98454517002921 143465
"119" 3.18281850652822 504999
"120" 2.30634418701888 148855
"121" 3.50061654368806 523061
"122" 1.8582925237059 32955
"123" 2.45718410943949 208560
"124" 3.52182868171368 899416
"125" 1.76193214611915 576159
"126" 4.61458387795876 77601
"127" 1.3088179450426 421603
"128" 3.07667955736363 783453
"129" 2.89791823671497 848500
"130" 2.61711859155249 462180
"131" 2.43536386529253 670163
"132" 3.57938060246421 860194
"133" 2.91835253363578 953142
"134" 2.49749305321371 527119
"135" 3.24885726460252 87716
"136" 2.06945091294461 366419
"137" 2.24388265734506 500767
"138" 3.72148851370318 357077
"139" 2.11541483494736 495093
"140" 3.10326137763152 793574
"141" 2.90770909253144 101524
"142" 3.90667669134052 399496
"143" 2.11352663279459 466139
"144" 2.71905089916976 344647
"145" 3.49177991060022 21765
"146" 1.97163530258846 905314
"147" 3.35482272334051 750160
"148" 2.28794539898055 111391
"149" 2.41848188106965 764631
"150" 1.85291612527946 470486
"151" 2.26495049294965 850585
"152" 3.02692925840153 149517
"153" 3.02914942937919 213957
