"V1" "V2"
"1" 3.16883268309291 479340
"2" 3.07980142378555 565116
"3" 3.4643967175434 363287
"4" 3.45677191067504 76966
"5" 3.52592222345106 31905
"6" 4.05816798998112 887501
"7" 2.21964239251905 70916
"8" 2.32262667308196 164173
"9" 2.17583609989063 451390
"10" 3.68268922840117 972737
"11" 2.77585840357729 442770
"12" 3.28415637881744 20712
"13" 4.19613463588112 520673
"14" 1.77890301253325 408759
"15" 3.57657913488825 17491
"16" 4.58149801961906 523387
"17" 3.3962318680883 102615
"18" 2.90086477064801 644243
"19" 2.36162372528573 195244
"20" 2.72380932484906 538497
"21" 3.64524358308972 261213
"22" 3.07916115169935 563330
"23" 2.72997009414987 953857
"24" 3.20966295627048 184687
"25" 2.68268016853757 427711
"26" 2.13247160497525 371705
"27" 2.60158662000426 571604
"28" 3.38718142067428 211626
"29" 3.26872069899894 316721
"30" 3.28720296649595 212514
"31" 3.01320271141582 768889
"32" 3.03996887284912 261717
"33" 2.80716171653995 212661
"34" 2.21114533143264 932477
"35" 2.46526615709828 222352
"36" 1.8240146944086 283010
"37" 3.38361731858385 979141
"38" 3.34347258335977 746610
"39" 2.73596795142245 423406
"40" 2.32876834812241 653680
"41" 4.21020351999717 750962
"42" 2.83157869226284 818227
"43" 2.3427424093418 982198
"44" 2.77970874492889 196462
"45" 3.23401122431725 905154
"46" 4.08765038369309 637037
"47" 3.0811711736695 157574
"48" 4.46187657477103 798076
"49" 3.23093251869828 913965
"50" 3.34407246454299 637488
"51" 2.53962512452483 680225
"52" 2.54374192376482 355635
"53" 2.35175296410874 308073
"54" 2.44305170194199 408192
"55" 3.32834002073799 916020
"56" 2.98841595312576 916029
"57" 2.78788809222336 708886
"58" 2.65456883480448 439570
"59" 2.43847618143512 965996
"60" 2.69551502349975 382718
"61" 2.18468382243957 744437
"62" 2.37246834914432 515238
"63" 5.67461507725544 134274
"64" 2.286936282954 261221
"65" 2.7024085577656 912475
"66" 2.49806129585041 470103
"67" 3.38413019355851 955275
"68" 2.87824766683018 561656
"69" 3.5895838523066 799083
"70" 3.24325416757894 533856
"71" 2.81440772168612 370127
"72" 3.10119156383044 422653
"73" 2.72699813201787 741839
"74" 2.53250288725402 525159
"75" 2.74640275277886 386522
"76" 5.73250016320562 306074
"77" 4.39799054903746 146830
"78" 2.46142423346922 277617
"79" 2.50005742058424 420745
"80" 3.27375979265964 434450
"81" 2.65524040987814 880979
"82" 2.97353307451932 424970
"83" 3.45600311547486 782875
"84" 2.78203575182772 239048
"85" 4.71834386796694 887845
"86" 3.32226833678349 2084
"87" 1.9128571170643 409198
"88" 3.53224373060656 129129
"89" 2.22166674428057 202934
"90" 3.46865394888447 341511
"91" 2.12899867364892 196724
"92" 2.14192273841719 803541
"93" 3.39789668706925 671436
"94" 2.35849327724759 704797
"95" 2.41484648416733 650283
"96" 3.89489582355308 96435
"97" 2.92352852378923 855365
"98" 2.69206543825045 58627
"99" 3.92344498300942 659729
"100" 3.56918242550361 735963
"101" 3.55886849793178 956476
"102" 2.59326856560829 752070
"103" 1.91338190471486 723482
"104" 2.9423851643061 191007
"105" 3.05122735039552 330679
"106" 2.83367336074124 580633
"107" 2.95134089634243 695688
"108" 3.0952496711708 621627
"109" 2.43539154936638 498576
"110" 2.65474595998576 32285
"111" 2.23283233643838 898245
"112" 2.9574359081262 262478
"113" 4.14013380412416 18986
"114" 2.5774366199731 367375
"115" 2.74170829361853 734822
"116" 3.41004865992884 629494
"117" 3.17335353596883 876544
"118" 2.64072492994073 106380
"119" 3.13859697535652 969567
"120" 3.39535949000724 819905
"121" 2.42283066801981 807387
"122" 3.39767465045318 99121
"123" 2.99186480519177 920364
"124" 2.16599483796752 720173
"125" 2.57934011294488 550512
"126" 4.34408056752289 843296
"127" 3.12847420857883 151591
"128" 2.20995280642789 981544
"129" 2.8795480673632 280937
"130" 3.9865603146951 85574
"131" 2.8707434948872 354358
"132" 4.55728855599628 582154
"133" 2.36403115240856 339474
"134" 3.54480384614833 9016
"135" 2.46770590000347 350505
"136" 5.43623164337882 339767
"137" 3.25007609753884 178661
"138" 2.08238079529923 337962
"139" 2.84065739083364 944914
"140" 2.77787175854415 654144
"141" 2.80610088649991 436663
"142" 2.98449280416023 115306
"143" 3.33346831482686 549236
"144" 2.55734624277442 353073
"145" 2.73587176220134 464160
"146" 2.67266927776698 356719
"147" 2.1779204082249 586199
"148" 2.54004405760286 823098
"149" 3.91619129098822 600161
"150" 3.32963781749653 274341
"151" 2.45058511485475 9441
"152" 2.598929297175 80050
"153" 3.06217769873802 514758
"154" 3.3833815710114 824444
"155" 2.29074060744156 185339
"156" 2.10858763466142 138195
"157" 3.21595558072508 679843
"158" 2.23762015628132 774264
"159" 3.88406923302048 600221
"160" 2.52516965700144 870984
"161" 2.6838383034403 960721
"162" 2.09718167073695 962482
"163" 2.87563904199255 539687
"164" 2.66762522244841 974635
"165" 2.88797545132053 15444
"166" 2.76038536696443 905895
"167" 3.34202798180556 124134
"168" 2.53274074286511 71579
"169" 3.45615898072914 664442
"170" 3.80700025497805 238040
"171" 2.64992170737175 613032
"172" 3.4008091281336 795951
"173" 2.43427043382757 370585
"174" 2.1101238662958 701811
"175" 2.55655731293051 142779
"176" 2.55022352090037 45584
"177" 2.50889345629751 41471
"178" 2.9860225603098 434913
"179" 2.82231911782499 143465
"180" 3.79819343456547 504999
"181" 2.46234544911744 148855
"182" 2.41741060452984 523061
"183" 2.96937083509889 32955
"184" 3.79215458256529 208560
"185" 2.33574973163738 899416
"186" 2.92733269105921 576159
"187" 3.52849165443069 77601
"188" 2.96827827585554 421603
"189" 4.38347175162462 783453
"190" 4.09040827743083 848500
"191" 2.86521720951908 462180
"192" 2.60354045867474 670163
"193" 3.03217233210691 860194
"194" 2.9343367445309 953142
"195" 2.84098025489468 527119
"196" 3.4284568885952 87716
"197" 2.77427680225003 366419
"198" 3.2165174396893 500767
"199" 2.17352196761053 357077
"200" 2.09133113444667 495093
"201" 3.45313035896317 793574
"202" 2.33404143019068 101524
"203" 5.66244196174749 399496
"204" 2.99036492143812 466139
"205" 3.99677235227713 344647
"206" 4.73903152134527 21765
"207" 3.08030651525653 905314
"208" 2.45037623250224 750160
"209" 3.31387786054982 111391
"210" 4.47723783709002 764631
"211" 2.71991091127682 470486
"212" 2.53058085631049 850585
"213" 2.60689984519522 149517
"214" 2.55369433303747 213957
"215" 2.49159379783095 954793
"216" 2.90532182188903 718348
"217" 3.14818162366005 358739
"218" 3.00663334264415 154094
"219" 3.27524357584546 758765
"220" 2.02395232391636 369773
"221" 2.21362320757855 619580
"222" 4.25180203629185 3734
"223" 3.20854128277113 979950
"224" 2.60781161327218 437570
"225" 3.12336365726133 719428
"226" 2.9838688601131 987779
"227" 4.09575371270796 579439
"228" 2.5102706767153 799188
"229" 2.85081324431908 90075
"230" 3.10140169614892 706269
"231" 2.38724652380026 988106
"232" 2.19131499091443 119951
"233" 2.96892559881466 242223
"234" 5.08176454879638 567721
"235" 2.96136318152582 367935
"236" 4.38635484384788 610809
"237" 2.54428006190737 534409
"238" 2.30247875315934 57896
"239" 3.99819959395685 453142
"240" 2.90020238710601 461895
"241" 3.080851836592 26949
"242" 2.09688071785328 774511
"243" 4.12295977864182 96395
"244" 3.56788217529854 256854
"245" 3.33971123444365 628665
"246" 4.49569199065814 555696
"247" 2.25775450191896 480182
"248" 2.37680918745655 673599
"249" 3.51537634838675 189672
"250" 2.43020069648952 296913
"251" 2.45085866060449 545471
"252" 2.2220428409933 150762
"253" 3.34439390191815 952081
"254" 2.80251028061869 227322
"255" 3.3173172983903 949814
"256" 3.87806376012715 60170
"257" 3.24330510273003 957080
"258" 3.08138288676614 958285
"259" 4.97725505769744 737259
"260" 3.49007793108403 77846
"261" 2.82035317762189 541633
"262" 3.13121162118466 426868
"263" 1.93035634423524 998859
"264" 2.49841859430799 495893
"265" 2.73514987920898 234114
"266" 1.80969221474565 23872
"267" 2.11388841832078 931535
"268" 2.55164118886991 904179
"269" 3.2338191157442 387065
"270" 2.4824853184555 639632
"271" 3.12191780186654 241982
"272" 3.8378878038444 890563
"273" 2.36622107512375 706468
"274" 2.7486876799281 531466
"275" 3.15563669165143 617626
"276" 1.68325744372537 82524
"277" 3.60324420300946 555805
"278" 3.65202711549279 445471
"279" 2.9914809380754 275245
"280" 3.54672741590516 320803
"281" 3.12323734772126 362216
"282" 2.45072596259535 618499
"283" 2.6276079197931 670574
"284" 3.00303712156464 197565
"285" 2.84842440801018 889865
"286" 2.81175856836291 331994
"287" 2.96058171015165 654943
"288" 2.50670141678694 878586
"289" 2.59491287112198 76761
"290" 2.37414217066351 590835
"291" 2.69548000467113 706943
"292" 2.84849487629994 570559
"293" 3.51809973417816 209056
"294" 2.63767788395141 449487
"295" 3.5324956840715 938999
"296" 2.48631266057992 284123
"297" 4.62277558120825 539371
"298" 2.84145693462565 926504
"299" 3.63497487573725 319996
"300" 2.89233546763939 659462
"301" 2.77091381842082 607826
"302" 3.04097590923702 146773
"303" 2.88901566382686 594034
"304" 2.36068045707203 395528
"305" 3.14700217790849 558329
"306" 2.38069192161054 742453
"307" 3.11669417604842 316495
"308" 2.7911278168241 549897
"309" 2.68462459136375 803348
"310" 3.09189508954933 581909
"311" 3.58931083179099 277045
"312" 2.85420479715291 765519
"313" 3.64983104759793 355475
"314" 3.72034585824755 132943
"315" 2.43602466005455 853374
"316" 2.36811950421027 127702
"317" 2.70641479644046 74106
"318" 3.45637205310602 796548
"319" 2.57789948469497 525172
"320" 2.61375996662471 937528
"321" 2.53636825459848 369090
"322" 2.78844196514821 786941
"323" 2.46292773630971 713131
"324" 2.17925748724235 717476
"325" 3.52599724459539 861923
"326" 2.32448610822431 267013
"327" 2.04180653260601 26592
"328" 3.42206259927827 563396
"329" 2.5289780311167 228134
"330" 2.96010224753437 771936
"331" 2.89744669523517 30752
"332" 2.9718085299748 84841
"333" 2.26407103529391 440382
"334" 2.98129727070029 442695
"335" 2.20022551799579 210255
"336" 2.14737058022443 862288
"337" 3.35151131270881 355508
"338" 3.77779755668711 48844
"339" 3.82624666007587 83920
"340" 2.83338275213499 549911
"341" 3.22152461886733 261836
"342" 2.43385931330658 101625
"343" 3.68210172099845 178683
"344" 3.65620221794773 163718
"345" 2.12910274307365 777216
"346" 3.27442730670053 363924
"347" 3.03542462480094 821514
"348" 2.87992617499922 858192
"349" 2.97144762999819 383096
"350" 2.45460737143315 110036
"351" 2.55594833991606 125254
"352" 3.31000956902212 185637
"353" 2.56699224531155 797145
"354" 3.56032203308286 50046
"355" 2.44990956484166 782084
"356" 2.32068666259517 245856
"357" 2.97620318580026 16977
"358" 2.65602203253159 865534
"359" 3.24800074269061 911043
"360" 2.56057231846284 897723
"361" 3.00635059125359 631780
"362" 2.51608168290067 781130
"363" 2.94295738955745 771351
"364" 3.25847384978125 386678
"365" 2.27843406994325 227765
"366" 2.55012592845296 62241
"367" 2.42673413369947 506128
"368" 3.15583223147214 349770
"369" 4.22829839646803 437326
"370" 2.80588982246237 533902
"371" 2.27043114026732 732838
"372" 3.26796592006569 487988
"373" 2.82886060971037 400643
"374" 2.31094252071334 816383
"375" 2.1882213942185 660854
"376" 2.64931089017836 694958
"377" 2.88641480354621 419572
"378" 2.56851982423879 501260
"379" 3.98440225219572 728844
"380" 2.43297110330203 494317
"381" 3.42132099392823 506890
"382" 3.13177133115438 218249
"383" 2.61845892628658 764422
"384" 3.25033871133531 194344
"385" 2.71598077178631 650570
"386" 3.26410972823537 737068
"387" 2.55645155032737 576275
"388" 1.95920360468735 973221
"389" 2.33503334864567 661140
"390" 2.78150609039725 142255
"391" 3.42059528765159 791565
"392" 2.52991420830687 449093
"393" 3.20070584302058 425003
"394" 3.22991537744061 925543
"395" 3.5109305037459 661013
"396" 2.11257438811266 3094
"397" 2.62751035434892 536080
"398" 3.72101280954605 350726
"399" 2.45334709681536 240639
"400" 3.18757548150096 921229
"401" 2.63953100965742 136367
"402" 2.79111410946984 819419
"403" 4.01107512537953 684705
"404" 3.65410517990542 960761
"405" 2.75852801110716 62805
"406" 2.12460736162638 991642
"407" 2.390855179937 327623
"408" 2.72446975112371 546803
"409" 2.24137791039623 621673
"410" 4.4254002948186 647802
"411" 2.89568110232892 126508
"412" 2.03835795499282 234867
"413" 3.68843866210839 60191
"414" 3.35747200179072 608094
