Genotype,Population,Pedigree,Tester,Plotcode,LOC,IncBlockNo.,Rep,DMY,DMC,PH,DtTAS,DtSILK,NBPL
CFD10-089,CFD10,F353 x UH250,UH007,1,INR,B1,R1,157,41.9,257,86,84,80
CFD05-026,CFD05,F353 x EC169,UH007,2,INR,B1,R1,164.5,42.7,250,84,84,80
CFD11-337,CFD11,F353 x UH304,UH007,3,INR,B1,R1,203.8,38.6,242,86,85,78
CFD06-347,CFD06,F353 x F252,UH007,4,INR,B1,R1,189.1,42.2,261,85,86,79
CFD02-302,CFD02,F353 x B73,UH007,5,INR,B1,R1,169.1,38.9,258,87,87,80
CFD07-076,CFD07,F353 x F618,UH007,6,INR,B1,R1,183.8,42.8,248,86,86,80
A287,NA,NA,UH007,7,INR,B1,R1,256,37.5,253.5,89,90,80
CFD12-304,CFD12,F353 x W117,UH007,8,INR,B1,R1,121,40.5,232,84,85,52
CFD04-087,CFD04,F353 x D09,UH007,9,INR,B1,R1,214.6,42.8,241,83,84,79
CFD12-019,CFD12,F353 x W117,UH007,10,INR,B1,R1,162.3,40.3,229,86,86,73
CFD10-315,CFD10,F353 x UH250,UH007,11,INR,B2,R1,185,41.8,252,86,86,76
CFD02-314,CFD02,F353 x B73,UH007,12,INR,B2,R1,199.7,38.5,254,88,88,80
CFD08-350,CFD08,F353 x F98902,UH007,13,INR,B2,R1,187,39.4,249,86,86,78
CFD07-330,CFD07,F353 x F618,UH007,14,INR,B2,R1,200.5,40.1,258,87,87,80
CFD04-101,CFD04,F353 x D09,UH007,15,INR,B2,R1,180.6,45.6,243,83,83,73
CFD07-112,CFD07,F353 x F618,UH007,16,INR,B2,R1,196.6,38.7,255,89,88,80
CFD04-345,CFD04,F353 x D09,UH007,17,INR,B2,R1,188.5,40.5,253,86,86,78
CFD02-315,CFD02,F353 x B73,UH007,18,INR,B2,R1,164.3,35,258,89,89,79
CFD09-077,CFD09,F353 x Mo17,UH007,19,INR,B2,R1,190.4,36.7,273,88,88,79
CFD11-320,CFD11,F353 x UH304,UH007,20,INR,B2,R1,174.6,40.3,266,83,83,80
CFD08-368,CFD08,F353 x F98902,UH007,21,INR,B3,R1,157.8,41.1,253,86,85,78
CFD10-327,CFD10,F353 x UH250,UH007,22,INR,B3,R1,191.5,38.5,268,86,86,78
A287,NA,NA,UH007,23,INR,B3,R1,230.8,35.4,262.5,91,92,80
CFD11-319,CFD11,F353 x UH304,UH007,24,INR,B3,R1,188,42.6,241,85,84,77
CFD02-036,CFD02,F353 x B73,UH007,25,INR,B3,R1,178.7,40,260,86,86,80
CFD09-105,CFD09,F353 x Mo17,UH007,26,INR,B3,R1,137.7,30.2,252,94,97,77
CFD10-062,CFD10,F353 x UH250,UH007,27,INR,B3,R1,163.2,39.6,243,86,86,75
CFD03-301,CFD03,F353 x D06,UH007,28,INR,B3,R1,160.9,44.2,250,83,83,78
CFD03-342,CFD03,F353 x D06,UH007,29,INR,B3,R1,189.4,41.9,251,83,85,73
CFD06-340,CFD06,F353 x F252,UH007,30,INR,B3,R1,158.9,45.3,239,84,85,79
CFD06-065,CFD06,F353 x F252,UH007,31,INR,B4,R1,179.2,43.5,253,83,83,76
CFD07-332,CFD07,F353 x F618,UH007,32,INR,B4,R1,231.3,37.8,270,89,88,79
CFD10-309,CFD10,F353 x UH250,UH007,33,INR,B4,R1,172.6,40.2,251,84,84,72
CFD08-038,CFD08,F353 x F98902,UH007,34,INR,B4,R1,200.9,37.3,261,87,88,79
CFD04-319,CFD04,F353 x D09,UH007,35,INR,B4,R1,188.9,38.7,255,83,83,70
CFD07-125,CFD07,F353 x F618,UH007,36,INR,B4,R1,191.8,36.7,255,92,92,75
CFD03-043,CFD03,F353 x D06,UH007,37,INR,B4,R1,202.5,37.5,277,86,86,80
CFD10-039,CFD10,F353 x UH250,UH007,38,INR,B4,R1,118.6,40.6,242,83,85,80
CFD04-096,CFD04,F353 x D09,UH007,39,INR,B4,R1,240.5,38.3,277,86,86,80
CFD12-318,CFD12,F353 x W117,UH007,40,INR,B4,R1,171.7,41.4,253,83,83,80
CFD07-119,CFD07,F353 x F618,UH007,41,INR,B5,R1,190.4,36.7,268,87,87,78
CFD08-309,CFD08,F353 x F98902,UH007,42,INR,B5,R1,206.9,42.4,257,83,81,79
CFD11-009,CFD11,F353 x UH304,UH007,43,INR,B5,R1,186.5,37.6,254,87,87,78
CFD11-029,CFD11,F353 x UH304,UH007,44,INR,B5,R1,205.9,36.6,259,88,87,72
CFD10-008,CFD10,F353 x UH250,UH007,45,INR,B5,R1,151.3,40.1,250,85,85,79
CFD09-332,CFD09,F353 x Mo17,UH007,46,INR,B5,R1,169.9,31.7,266,93,94,79
CFD07-106,CFD07,F353 x F618,UH007,47,INR,B5,R1,193.9,37,259,88,89,80
CFD06-089,CFD06,F353 x F252,UH007,48,INR,B5,R1,152.7,41.5,248,83,84,79
CFD11-349,CFD11,F353 x UH304,UH007,49,INR,B5,R1,199.5,41.1,252,87,87,80
CFD06-059,CFD06,F353 x F252,UH007,50,INR,B5,R1,176.4,45.3,244,84,84,74
CFD02-082,CFD02,F353 x B73,UH007,51,INR,B6,R1,169.6,37.2,267,87,88,80
CFD08-359,CFD08,F353 x F98902,UH007,52,INR,B6,R1,196.8,40,249,86,86,80
CFD07-303,CFD07,F353 x F618,UH007,53,INR,B6,R1,192.6,42.6,259,86,86,80
CFD03-065,CFD03,F353 x D06,UH007,54,INR,B6,R1,208,42.4,270,85,85,79
CFD12-093,CFD12,F353 x W117,UH007,55,INR,B6,R1,163.8,42.8,232,84,84,78
EC169,EC169,EC169,UH007,56,INR,B6,R1,150.2,44,244,84,85,78
CFD04-337,CFD04,F353 x D09,UH007,57,INR,B6,R1,189.5,40.5,252,86,85,79
CFD08-302,CFD08,F353 x F98902,UH007,58,INR,B6,R1,186.3,38.5,238,86,86,76
CFD11-324,CFD11,F353 x UH304,UH007,59,INR,B6,R1,203.4,40.9,257,84,83,79
CFD04-063,CFD04,F353 x D09,UH007,60,INR,B6,R1,190.3,39,257,83,83,80
CFD12-336,CFD12,F353 x W117,UH007,61,INR,B7,R1,166.7,37.1,264,86,86,80
CFD03-070,CFD03,F353 x D06,UH007,62,INR,B7,R1,216,40.6,277,83,84,74
CFD11-055,CFD11,F353 x UH304,UH007,63,INR,B7,R1,201.6,39.9,260,85,85,79
CFD08-330,CFD08,F353 x F98902,UH007,64,INR,B7,R1,181.2,38.6,244,84,84,84
CFD06-338,CFD06,F353 x F252,UH007,65,INR,B7,R1,178.1,43.5,249,83,83,80
CFD11-308,CFD11,F353 x UH304,UH007,66,INR,B7,R1,209.5,40.7,265,84,84,80
CFD03-321,CFD03,F353 x D06,UH007,67,INR,B7,R1,175.6,42.2,253,83,83,78
CFD06-044,CFD06,F353 x F252,UH007,68,INR,B7,R1,188,42.6,263,83,83,76
CFD08-318,CFD08,F353 x F98902,UH007,69,INR,B7,R1,167,41.6,249,86,86,73
CFD06-341,CFD06,F353 x F252,UH007,70,INR,B7,R1,222.9,43.3,265,87,84,80
CFD12-340,CFD12,F353 x W117,UH007,71,INR,B8,R1,159.9,40.8,241,85,86,80
CFD04-309,CFD04,F353 x D09,UH007,72,INR,B8,R1,196.1,44.3,243,83,83,80
CFD10-113,CFD10,F353 x UH250,UH007,73,INR,B8,R1,139.6,40.9,243,85,85,79
A287,NA,NA,UH007,74,INR,B8,R1,270.2,39.2,263,89,90,80
CFD03-303,CFD03,F353 x D06,UH007,75,INR,B8,R1,151.2,41.7,228,82,79,72
CFD09-078,CFD09,F353 x Mo17,UH007,76,INR,B8,R1,139.4,42,251,84,84,73
CFD07-072,CFD07,F353 x F618,UH007,77,INR,B8,R1,203.4,40.9,243,86,86,80
CFD06-004,CFD06,F353 x F252,UH007,78,INR,B8,R1,169.2,45.8,232,80,79,80
CFD02-085,CFD02,F353 x B73,UH007,79,INR,B8,R1,157.3,40,237,86,85,80
CFD07-010,CFD07,F353 x F618,UH007,80,INR,B8,R1,197.6,39.1,261,84,83,80
CFD05-303,CFD05,F353 x EC169,UH007,81,INR,B9,R1,174.5,42.5,233,83,83,80
CFD10-033,CFD10,F353 x UH250,UH007,82,INR,B9,R1,154.5,42.6,246,83,83,80
CFD07-326,CFD07,F353 x F618,UH007,83,INR,B9,R1,217.6,37,251,89,89,78
CFD03-305,CFD03,F353 x D06,UH007,84,INR,B9,R1,170.1,39.5,248,83,83,79
CFD03-077,CFD03,F353 x D06,UH007,85,INR,B9,R1,154.6,41.4,249,83,83,75
CFD06-023,CFD06,F353 x F252,UH007,86,INR,B9,R1,198.3,44.8,251,85,84,80
CFD11-321,CFD11,F353 x UH304,UH007,87,INR,B9,R1,187.9,44.6,242,83,83,80
CFD09-317,CFD09,F353 x Mo17,UH007,88,INR,B9,R1,147.1,41,239,87,86,77
CFD10-002,CFD10,F353 x UH250,UH007,89,INR,B9,R1,174,44.1,251,86,86,77
A287,NA,NA,UH007,90,INR,B9,R1,258.4,38.3,244,NA,NA,80
A287,NA,NA,UH007,91,INR,B10,R1,223.7,36.8,257,90,90,80
CFD11-026,CFD11,F353 x UH304,UH007,92,INR,B10,R1,188.2,43.7,253,86,84,77
CFD04-003,CFD04,F353 x D09,UH007,93,INR,B10,R1,176.8,44.8,238,81,79,80
A287,NA,NA,UH007,94,INR,B10,R1,253,38.8,247,89,90,80
CFD03-063,CFD03,F353 x D06,UH007,95,INR,B10,R1,168.4,45.1,244,83,83,79
CFD06-346,CFD06,F353 x F252,UH007,96,INR,B10,R1,132,44.4,225,83,83,65
CFD02-041,CFD02,F353 x B73,UH007,97,INR,B10,R1,159.3,39.7,239,83,83,79
CFD03-314,CFD03,F353 x D06,UH007,98,INR,B10,R1,187.1,40.8,250,84,84,76
CFD10-316,CFD10,F353 x UH250,UH007,99,INR,B10,R1,186.3,39.7,256,85,84,73
CFD06-315,CFD06,F353 x F252,UH007,100,INR,B10,R1,164.1,46.8,248,83,83,80
A287,NA,NA,UH007,101,INR,B11,R1,249.5,37.8,253.5,89,90,80
CFD10-145,CFD10,F353 x UH250,UH007,102,INR,B11,R1,149.6,44,235,83,83,78
CFD06-306,CFD06,F353 x F252,UH007,103,INR,B11,R1,151.7,44.8,217,78,78,80
CFD02-319,CFD02,F353 x B73,UH007,104,INR,B11,R1,179.6,36.7,243,89,89,80
CFD05-308,CFD05,F353 x EC169,UH007,105,INR,B11,R1,143,42.9,245,85,86,79
CFD09-086,CFD09,F353 x Mo17,UH007,106,INR,B11,R1,167.8,34.1,254,89,93,79
CFD03-315,CFD03,F353 x D06,UH007,107,INR,B11,R1,191.4,41.6,258,86,86,80
CFD08-304,CFD08,F353 x F98902,UH007,108,INR,B11,R1,192.7,40.6,258,84,84,78
CFD12-315,CFD12,F353 x W117,UH007,109,INR,B11,R1,183,47,253,83,81,80
CFD06-079,CFD06,F353 x F252,UH007,110,INR,B11,R1,182.9,48.3,243,83,81,80
CFD11-054,CFD11,F353 x UH304,UH007,111,INR,B12,R1,197.9,37.2,256,87,88,80
CFD03-074,CFD03,F353 x D06,UH007,112,INR,B12,R1,207.2,42,262,88,88,80
CFD11-002,CFD11,F353 x UH304,UH007,113,INR,B12,R1,203.9,41,246,85,85,80
CFD02-316,CFD02,F353 x B73,UH007,114,INR,B12,R1,171.8,39.4,256,87,87,80
CFD12-320,CFD12,F353 x W117,UH007,115,INR,B12,R1,159.6,44,235,83,82,77
CFD06-026,CFD06,F353 x F252,UH007,116,INR,B12,R1,148.8,47.5,229,83,83,73
CFD07-323,CFD07,F353 x F618,UH007,117,INR,B12,R1,159,33.5,253,92,93,72
CFD12-335,CFD12,F353 x W117,UH007,118,INR,B12,R1,213.8,40.5,259,85,85,76
CFD06-064,CFD06,F353 x F252,UH007,119,INR,B12,R1,150.8,44.7,234,83,81,80
CFD05-069,CFD05,F353 x EC169,UH007,120,INR,B12,R1,133.4,39.4,225,83,84,79
CFD11-069,CFD11,F353 x UH304,UH007,121,INR,B13,R1,162.7,41.5,234,85,84,80
CFD11-327,CFD11,F353 x UH304,UH007,122,INR,B13,R1,212.7,41,252,86,85,78
CFD11-048,CFD11,F353 x UH304,UH007,123,INR,B13,R1,178.3,40.4,249,83,83,80
CFD07-029,CFD07,F353 x F618,UH007,124,INR,B13,R1,187.9,38.5,226,85,85,80
CFD02-063,CFD02,F353 x B73,UH007,125,INR,B13,R1,175.2,44.4,241,86,86,80
CFD02-051,CFD02,F353 x B73,UH007,126,INR,B13,R1,159.6,42.9,226,86,86,80
CFD09-112,CFD09,F353 x Mo17,UH007,127,INR,B13,R1,181.8,38.3,246,89,89,80
CFD04-327,CFD04,F353 x D09,UH007,128,INR,B13,R1,179.6,40.7,243,86,86,79
CFD08-365,CFD08,F353 x F98902,UH007,129,INR,B13,R1,202,37.4,239,88,88,80
CFD07-042,CFD07,F353 x F618,UH007,130,INR,B13,R1,193.5,37.6,248,89,88,80
CFD10-019,CFD10,F353 x UH250,UH007,131,INR,B14,R1,158.5,42.6,230,84,85,80
CFD05-041,CFD05,F353 x EC169,UH007,132,INR,B14,R1,175.1,41.3,238,87,87,80
CFD08-346,CFD08,F353 x F98902,UH007,133,INR,B14,R1,188.9,40.6,250,87,87,80
CFD07-110,CFD07,F353 x F618,UH007,134,INR,B14,R1,197.6,38.4,243,87,87,79
CFD08-372,CFD08,F353 x F98902,UH007,135,INR,B14,R1,192,42.1,251,85,85,80
CFD10-312,CFD10,F353 x UH250,UH007,136,INR,B14,R1,156.2,43.7,243,85,85,63
CFD03-323,CFD03,F353 x D06,UH007,137,INR,B14,R1,179.4,39,246,88,87,78
CFD04-321,CFD04,F353 x D09,UH007,138,INR,B14,R1,152.7,42.1,249,84,84,72
CFD03-055,CFD03,F353 x D06,UH007,139,INR,B14,R1,178.5,37.5,247,85,86,80
CFD10-101,CFD10,F353 x UH250,UH007,140,INR,B14,R1,160.1,38,248,87,88,80
CFD06-332,CFD06,F353 x F252,UH007,141,INR,B15,R1,149.2,43.7,224,83,81,80
F618,F618,F618,UH007,142,INR,B15,R1,203.9,37.2,243,88,87,79
CFD03-048,CFD03,F353 x D06,UH007,143,INR,B15,R1,205.8,40.4,253,86,86,78
CFD07-313,CFD07,F353 x F618,UH007,144,INR,B15,R1,174.8,38,238,86,86,78
CFD02-053,CFD02,F353 x B73,UH007,145,INR,B15,R1,161.8,37,242,92,91,73
CFD04-054,CFD04,F353 x D09,UH007,146,INR,B15,R1,192.5,43.1,231,84,85,77
CFD08-314,CFD08,F353 x F98902,UH007,147,INR,B15,R1,186.8,40.5,244,85,85,74
CFD09-076,CFD09,F353 x Mo17,UH007,148,INR,B15,R1,160.3,39.3,244,89,90,81
CFD07-320,CFD07,F353 x F618,UH007,149,INR,B15,R1,193,38.7,226,87,89,80
CFD10-310,CFD10,F353 x UH250,UH007,150,INR,B15,R1,159.5,40,229,87,87,75
CFD10-308,CFD10,F353 x UH250,UH007,151,INR,B16,R1,191.1,44.5,236,85,85,80
F98902,F98902,F98902,UH007,152,INR,B16,R1,201.2,41,245,88,87,79
CFD12-033,CFD12,F353 x W117,UH007,153,INR,B16,R1,154.5,37.5,228,83,84,82
CFD12-061,CFD12,F353 x W117,UH007,154,INR,B16,R1,183.4,43.4,231,84,84,80
CFD10-100,CFD10,F353 x UH250,UH007,155,INR,B16,R1,163.7,39.1,244,89,90,76
CFD10-050,CFD10,F353 x UH250,UH007,156,INR,B16,R1,202.2,38.1,245,89,88,80
CFD02-308,CFD02,F353 x B73,UH007,157,INR,B16,R1,154,36.9,238,89,90,80
CFD08-312,CFD08,F353 x F98902,UH007,158,INR,B16,R1,160.7,38.5,242,86,86,80
CFD07-325,CFD07,F353 x F618,UH007,159,INR,B16,R1,200.5,35.3,262,88,87,80
CFD10-152,CFD10,F353 x UH250,UH007,160,INR,B16,R1,172.1,40.6,241,86,86,80
CFD10-018,CFD10,F353 x UH250,UH007,161,INR,B17,R1,161.4,38.3,251,87,87,81
CFD09-315,CFD09,F353 x Mo17,UH007,162,INR,B17,R1,185.7,33.8,265,92,91,81
CFD02-003,CFD02,F353 x B73,UH007,163,INR,B17,R1,180.3,35.3,257,89,90,80
CFD04-342,CFD04,F353 x D09,UH007,164,INR,B17,R1,174.4,41.4,236,86,87,79
CFD12-082,CFD12,F353 x W117,UH007,165,INR,B17,R1,138,45,221,83,83,79
CFD05-302,CFD05,F353 x EC169,UH007,166,INR,B17,R1,157.6,46.9,234,87,88,79
CFD07-329,CFD07,F353 x F618,UH007,167,INR,B17,R1,178.1,36.5,233,88,88,81
CFD02-099,CFD02,F353 x B73,UH007,168,INR,B17,R1,182.5,33.3,269,89,94,75
CFD09-314,CFD09,F353 x Mo17,UH007,169,INR,B17,R1,151.2,39.5,236,88,88,78
CFD03-054,CFD03,F353 x D06,UH007,170,INR,B17,R1,176.2,38.2,251,87,87,79
CFD02-309,CFD02,F353 x B73,UH007,171,INR,B18,R1,184.9,38,238,88,88,79
CFD05-028,CFD05,F353 x EC169,UH007,172,INR,B18,R1,150.3,46.2,241,87,87,79
CFD07-005,CFD07,F353 x F618,UH007,173,INR,B18,R1,190.5,37.4,237,87,87,80
CFD06-331,CFD06,F353 x F252,UH007,174,INR,B18,R1,163.9,43.9,243,84,85,79
W117,W117,W117,UH007,175,INR,B18,R1,130.2,39.7,218,84,85,80
CFD08-361,CFD08,F353 x F98902,UH007,176,INR,B18,R1,190.3,36.5,256,87,87,76
CFD10-088,CFD10,F353 x UH250,UH007,177,INR,B18,R1,154.4,40.2,242,85,86,79
CFD04-316,CFD04,F353 x D09,UH007,178,INR,B18,R1,176.2,39.1,246,86,87,80
CFD07-063,CFD07,F353 x F618,UH007,179,INR,B18,R1,179.4,37.8,248,86,86,80
CFD09-304,CFD09,F353 x Mo17,UH007,180,INR,B18,R1,162.3,37,255,88,88,80
CFD12-333,CFD12,F353 x W117,UH007,181,INR,B19,R1,164.1,39.2,234,83,83,80
CFD04-111,CFD04,F353 x D09,UH007,182,INR,B19,R1,177,45,232,83,82,76
CFD06-311,CFD06,F353 x F252,UH007,183,INR,B19,R1,168.8,44.1,237,83,84,82
CFD08-321,CFD08,F353 x F98902,UH007,184,INR,B19,R1,192.3,40.4,240,87,87,79
CFD11-344,CFD11,F353 x UH304,UH007,185,INR,B19,R1,187.8,40.6,242,86,86,74
F618,F618,F618,UH007,186,INR,B19,R1,194.5,39,242,88,88,79
CFD12-330,CFD12,F353 x W117,UH007,187,INR,B19,R1,169.4,43.8,225,84,84,77
CFD10-128,CFD10,F353 x UH250,UH007,188,INR,B19,R1,169.7,41.2,229,85,85,80
CFD04-303,CFD04,F353 x D09,UH007,189,INR,B19,R1,182.1,46.3,236,83,83,80
CFD06-305,CFD06,F353 x F252,UH007,190,INR,B19,R1,179.9,43.8,244,84,84,80
CFD07-317,CFD07,F353 x F618,UH007,191,INR,B20,R1,190.5,38.3,250,84,84,80
CFD06-069,CFD06,F353 x F252,UH007,192,INR,B20,R1,170.3,47.3,235,83,83,81
CFD03-344,CFD03,F353 x D06,UH007,193,INR,B20,R1,183,44.7,246,83,84,80
CFD04-305,CFD04,F353 x D09,UH007,194,INR,B20,R1,185.6,46.7,278,83,81,78
CFD07-342,CFD07,F353 x F618,UH007,195,INR,B20,R1,199.7,38.9,234,87,87,80
CFD06-072,CFD06,F353 x F252,UH007,196,INR,B20,R1,169.1,47.5,253,83,83,81
CFD08-366,CFD08,F353 x F98902,UH007,197,INR,B20,R1,190.3,43,253,83,83,81
CFD02-024,CFD02,F353 x B73,UH007,198,INR,B20,R1,187.9,38.5,251,87,88,80
CFD03-347,CFD03,F353 x D06,UH007,199,INR,B20,R1,204.4,41.1,266,86,86,80
CFD02-312,CFD02,F353 x B73,UH007,200,INR,B20,R1,167,37.5,260,86,86,80
CFD12-048,CFD12,F353 x W117,UH007,201,INR,B21,R1,153.9,42.9,250,80,79,79
CFD10-318,CFD10,F353 x UH250,UH007,202,INR,B21,R1,165.4,41.5,258,83,83,80
CFD07-124,CFD07,F353 x F618,UH007,203,INR,B21,R1,192.1,39.8,232,86,85,77
CFD03-084,CFD03,F353 x D06,UH007,204,INR,B21,R1,189.1,41.1,251,83,85,80
CFD03-020,CFD03,F353 x D06,UH007,205,INR,B21,R1,180.5,35.9,244,86,87,78
A287,NA,NA,UH007,206,INR,B21,R1,225.4,34.5,255.5,91,91,80
CFD02-073,CFD02,F353 x B73,UH007,207,INR,B21,R1,207.9,36.6,266,89,90,80
CFD05-018,CFD05,F353 x EC169,UH007,208,INR,B21,R1,176.6,44.9,249,85,85,79
CFD08-324,CFD08,F353 x F98902,UH007,209,INR,B21,R1,215.2,41.5,245,85,85,80
CFD05-311,CFD05,F353 x EC169,UH007,210,INR,B21,R1,169.9,45.5,229,83,83,79
CFD11-328,CFD11,F353 x UH304,UH007,211,INR,B22,R1,192.8,41.8,261,85,84,77
CFD11-331,CFD11,F353 x UH304,UH007,212,INR,B22,R1,175.3,42.4,250,84,84,79
CFD03-005,CFD03,F353 x D06,UH007,213,INR,B22,R1,186.4,40.4,262,85,85,79
CFD07-074,CFD07,F353 x F618,UH007,214,INR,B22,R1,174,34.7,266,87,88,79
CFD02-322,CFD02,F353 x B73,UH007,215,INR,B22,R1,186.5,37.1,275,89,90,81
CFD12-313,CFD12,F353 x W117,UH007,216,INR,B22,R1,168.5,40.9,244,84,84,79
CFD05-301,CFD05,F353 x EC169,UH007,217,INR,B22,R1,175.5,40.5,243,84,84,83
CFD11-335,CFD11,F353 x UH304,UH007,218,INR,B22,R1,203.7,40.2,255,85,85,79
CFD12-041,CFD12,F353 x W117,UH007,219,INR,B22,R1,170.7,38.1,246,84,85,76
CFD04-048,CFD04,F353 x D09,UH007,220,INR,B22,R1,177.1,43.4,245,81,81,80
CFD07-069,CFD07,F353 x F618,UH007,221,INR,B23,R1,173.4,37.7,269,86,86,78
CFD06-062,CFD06,F353 x F252,UH007,222,INR,B23,R1,180.8,45.5,257,82,81,82
CFD03-052,CFD03,F353 x D06,UH007,223,INR,B23,R1,169.9,42.2,250,83,81,74
CFD10-330,CFD10,F353 x UH250,UH007,224,INR,B23,R1,199.1,39.3,256,87,87,78
CFD07-097,CFD07,F353 x F618,UH007,225,INR,B23,R1,176.1,43.6,238,84,84,77
CFD07-102,CFD07,F353 x F618,UH007,226,INR,B23,R1,201.2,39.2,251,86,86,80
CFD10-001,CFD10,F353 x UH250,UH007,227,INR,B23,R1,208.8,42.1,258,85,85,81
CFD11-334,CFD11,F353 x UH304,UH007,228,INR,B23,R1,208.7,42.3,249,85,85,80
CFD12-050,CFD12,F353 x W117,UH007,229,INR,B23,R1,179.1,42.5,262,86,86,81
CFD04-308,CFD04,F353 x D09,UH007,230,INR,B23,R1,188.8,43.7,238,83,83,79
A287,NA,NA,UH007,231,INR,B24,R1,252,36.7,265,89,89,80
CFD12-309,CFD12,F353 x W117,UH007,232,INR,B24,R1,116.2,42.3,227,83,83,78
CFD02-057,CFD02,F353 x B73,UH007,233,INR,B24,R1,197.7,40.3,255,86,86,81
CFD05-307,CFD05,F353 x EC169,UH007,234,INR,B24,R1,190.8,40.3,263,84,84,82
CFD02-038,CFD02,F353 x B73,UH007,235,INR,B24,R1,174.9,37.7,267,87,87,81
CFD12-069,CFD12,F353 x W117,UH007,236,INR,B24,R1,193,41.6,245,84,85,79
CFD06-082,CFD06,F353 x F252,UH007,237,INR,B24,R1,173.5,41.7,242,85,84,80
CFD08-367,CFD08,F353 x F98902,UH007,238,INR,B24,R1,184.1,42.1,246,84,85,81
CFD12-317,CFD12,F353 x W117,UH007,239,INR,B24,R1,179.4,39.7,263,84,84,80
CFD06-330,CFD06,F353 x F252,UH007,240,INR,B24,R1,161.9,42.6,259,83,84,79
CFD04-313,CFD04,F353 x D09,UH007,241,INR,B25,R1,192,40.8,243,84,84,78
CFD03-049,CFD03,F353 x D06,UH007,242,INR,B25,R1,155.4,40.6,244,83,83,65
A287,NA,NA,UH007,243,INR,B25,R1,242.7,37,247,92,92,80
CFD02-074,CFD02,F353 x B73,UH007,244,INR,B25,R1,167.4,34.2,257,89,91,78
CFD03-356,CFD03,F353 x D06,UH007,245,INR,B25,R1,179.9,39,263,86,86,78
CFD04-338,CFD04,F353 x D09,UH007,246,INR,B25,R1,190,41.3,250,83,84,81
CFD02-106,CFD02,F353 x B73,UH007,247,INR,B25,R1,200.1,39.7,255,85,86,81
CFD04-347,CFD04,F353 x D09,UH007,248,INR,B25,R1,160.1,43.5,232,83,83,70
CFD06-333,CFD06,F353 x F252,UH007,249,INR,B25,R1,161.8,43.5,237,83,83,77
CFD09-334,CFD09,F353 x Mo17,UH007,250,INR,B25,R1,178.2,38.4,266,88,88,81
CFD09-068,CFD09,F353 x Mo17,UH007,251,INR,B26,R1,172.2,42.2,254,87,88,80
CFD12-316,CFD12,F353 x W117,UH007,252,INR,B26,R1,161.3,46,219,84,84,80
CFD11-351,CFD11,F353 x UH304,UH007,253,INR,B26,R1,182,43.9,245,83,83,74
CFD07-322,CFD07,F353 x F618,UH007,254,INR,B26,R1,197.1,41.4,237,85,85,74
UH304,UH304,UH304,UH007,255,INR,B26,R1,177.3,35,237,89,88,78
CFD07-023,CFD07,F353 x F618,UH007,256,INR,B26,R1,200.2,39.3,260,86,86,77
CFD04-301,CFD04,F353 x D09,UH007,257,INR,B26,R1,172,39.1,243,83,83,80
CFD07-324,CFD07,F353 x F618,UH007,258,INR,B26,R1,177.4,38.9,238,87,87,79
CFD11-312,CFD11,F353 x UH304,UH007,259,INR,B26,R1,173.8,41,254,85,84,83
CFD04-323,CFD04,F353 x D09,UH007,260,INR,B26,R1,186,40.2,256,83,83,78
CFD04-320,CFD04,F353 x D09,UH007,261,INR,B27,R1,176.5,41.5,247,83,84,83
CFD06-301,CFD06,F353 x F252,UH007,262,INR,B27,R1,161.8,42,243,83,82,67
CFD02-100,CFD02,F353 x B73,UH007,263,INR,B27,R1,197.5,37.5,248,89,90,79
CFD02-006,CFD02,F353 x B73,UH007,264,INR,B27,R1,161.8,35.8,232,87,87,79
CFD10-320,CFD10,F353 x UH250,UH007,265,INR,B27,R1,170.6,41.4,245,89,88,77
CFD06-342,CFD06,F353 x F252,UH007,266,INR,B27,R1,165.1,42.7,246,84,85,78
CFD10-147,CFD10,F353 x UH250,UH007,267,INR,B27,R1,166.5,43.2,235,86,86,79
A287,NA,NA,UH007,268,INR,B27,R1,248.4,38.1,248.5,92,93,78
CFD12-072,CFD12,F353 x W117,UH007,269,INR,B27,R1,148.1,45.7,217,83,81,70
CFD10-136,CFD10,F353 x UH250,UH007,270,INR,B27,R1,195.1,43.8,240,85,85,72
CFD02-321,CFD02,F353 x B73,UH007,271,INR,B28,R1,185.3,40.4,265,87,87,82
CFD06-011,CFD06,F353 x F252,UH007,272,INR,B28,R1,156.7,47.2,246,83,83,80
CFD05-071,CFD05,F353 x EC169,UH007,273,INR,B28,R1,164.1,42,229,85,85,73
CFD06-063,CFD06,F353 x F252,UH007,274,INR,B28,R1,157.4,43.4,245,85,86,79
CFD08-373,CFD08,F353 x F98902,UH007,275,INR,B28,R1,185.7,41.7,233,84,84,80
CFD10-080,CFD10,F353 x UH250,UH007,276,INR,B28,R1,160.9,43.4,243,88,88,75
CFD08-376,CFD08,F353 x F98902,UH007,277,INR,B28,R1,186.2,40.6,244,85,85,78
CFD06-309,CFD06,F353 x F252,UH007,278,INR,B28,R1,166.8,43.6,238,81,81,75
CFD10-118,CFD10,F353 x UH250,UH007,279,INR,B28,R1,172.2,43.2,242,84,85,76
CFD11-045,CFD11,F353 x UH304,UH007,280,INR,B28,R1,164.6,40.6,239,83,83,78
CFD08-353,CFD08,F353 x F98902,UH007,281,INR,B29,R1,185.9,39.6,264,84,84,78
D09,D09,D09,UH007,282,INR,B29,R1,173.8,43.9,249,83,81,80
